generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
65,0.25,5.0,0.9846153846153847,13.67779409415317,0.0,True
70,0.25,5.0,0.9857142857142858,14.215350522452498,0.0,True
75,0.25,5.0,0.9866666666666667,14.733333333333333,0.0,True
80,0.25,5.0,0.9875,15.233734495082507,0.0,True
85,0.25,5.0,0.9882352941176471,15.718229706237253,0.0,True
90,0.25,5.0,0.9888888888888889,16.18824447737491,0.0,True
95,0.25,5.0,0.9789473684210527,16.408063913926856,0.0,True
100,0.25,5.0,0.97,16.62768775266122,0.0,True
105,0.25,5.0,0.9714285714285714,17.072115945516035,0.0,True
110,0.25,5.0,0.9727272727272728,17.505323865509133,0.0,True
115,0.25,5.0,0.9565217391304348,17.49741181689038,0.0,True
120,0.25,5.0,0.9583333333333334,17.919573407620817,0.0,True
125,0.25,5.0,0.96,18.33212117204844,0.0,True
130,0.25,5.0,0.9538461538461539,18.5331304176311,0.0,True
135,0.25,5.0,0.9555555555555556,18.932042209498217,0.0,True
140,0.25,5.0,0.95,19.12764142979125,0.0,True
145,0.25,5.0,0.9517241379310345,19.514156370455137,0.0,True
150,0.25,5.0,0.9533333333333334,19.893270777381538,0.0,True
155,0.25,5.0,0.9548387096774194,20.265389744719354,0.0,True
160,0.25,5.0,0.95625,20.63088299936126,0.0,True
165,0.25,5.0,0.9575757575757575,20.990089051355604,0.0,True
170,0.25,5.0,0.9588235294117647,21.3433187415163,0.0,True
175,0.25,5.0,0.96,21.690858289457644,0.0,True
180,0.25,5.0,0.9611111111111111,22.032971925091083,0.0,True
185,0.25,5.0,0.9621621621621622,22.369904170841068,0.0,True
190,0.25,5.0,0.9578947368421052,22.534340266093217,0.0,True
195,0.25,5.0,0.9538461538461539,22.69835642982515,0.0,True
200,0.25,5.0,0.955,23.025203582161875,0.0,True
205,0.25,5.0,0.9560975609756097,23.347533425892568,0.0,True
210,0.25,5.0,0.9476190476190476,23.346798835665158,0.0,True
5,0.25,5.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,5.0,0.9,4.74692883171144,1.0326428980800273e-06,True
15,0.25,5.0,0.9333333333333333,6.111919138499425,4.922002805329839e-10,True
20,0.25,5.0,0.95,7.229568912920511,2.4225066397320916e-13,True
25,0.25,5.0,0.96,8.198373822492686,1.1102230246251565e-16,True
30,0.25,5.0,0.9333333333333333,8.64355893779357,0.0,True
35,0.25,5.0,0.9428571428571428,9.466230707600772,0.0,True
40,0.25,5.0,0.925,9.85900603509299,0.0,True
45,0.25,5.0,0.9333333333333333,10.586154479633606,0.0,True
50,0.25,5.0,0.94,11.26765281680262,0.0,True
55,0.25,5.0,0.9272727272727272,11.599634268006692,0.0,True
60,0.25,5.0,0.9333333333333333,12.22383827699885,0.0,True
65,0.25,5.0,0.9230769230769231,12.532010295690077,0.0,True
70,0.25,5.0,0.9285714285714286,13.111245627504731,0.0,True
75,0.25,5.0,0.9333333333333333,13.666666666666666,0.0,True
80,0.25,5.0,0.925,13.9427400463467,0.0,True
85,0.25,5.0,0.9294117647058824,14.465781124066954,0.0,True
90,0.25,5.0,0.9222222222222223,14.727650990694467,0.0,True
95,0.25,5.0,0.9263157894736842,15.223366158408671,0.0,True
100,0.25,5.0,0.92,15.47298721428197,0.0,True
105,0.25,5.0,0.9238095238095239,15.945243605878012,0.0,True
110,0.25,5.0,0.9181818181818182,16.1841673473575,0.0,True
115,0.25,5.0,0.9217391304347826,16.636000773597313,0.0,True
120,0.25,5.0,0.9166666666666666,16.865480854231357,0.0,True
125,0.25,5.0,0.92,17.299325613059796,0.0,True
